Title,Title_ID,Release Date
Bleach,bleach,2012
"{'romaji': 'NARUTO', 'english': 'Naruto', 'native': 'NARUTO -ナルト-'}",20,2002
Naruto,20,2002
The Last: Naruto the Movie,16870,2014
The Last: Naruto the Movie,16870,2014
Bleach,269,2004
Bleach the Movie: The DiamondDust Rebellion,2889,2007
Bleach,269,2004
Bleach,269,2004
Bleach the Movie: The DiamondDust Rebellion,2889,2007
Bleach the Movie: The DiamondDust Rebellion,2889,2007
Bleach,269,2004
Naruto,20,2002
Kaiju No.8,153288,2024
The God of High School,116006,2020
Bleach,269,2004
Bleach the Movie: Memories of Nobody,1686,2006
Bleach,269,2004
